Rank	Name	Twitter Handle	Followers	Following	Tweets
1	KATY PERRY	@katyperry	94086175	182	7538
2	Justin Bieber	@justinbieber	89653038	293761	30595
3	Taylor Swift	@taylorswift13	81262217	245	4146
4	Barack Obama	@BarackObama	79094984	633283	15432
5	Rihanna	@rihanna	67514804	1140	9887
6	YouTube	@YouTube	64903814	965	18014
7	#CountryOfKindness	@ladygaga	64410465	130416	8018
8	Ellen DeGeneres	@TheEllenShow	63317129	36277	13161
9	Twitter	@twitter	57448761	147	3352
10	Justin Timberlake	@jtimberlake	56984236	219	3508
11	Kim Kardashian West	@KimKardashian	48842438	106	22470
12	Britney Spears	@britneyspears	48737863	393537	4946
13	Cristiano Ronaldo	@Cristiano	47488125	95	2690
14	Selena Gomez	@selenagomez	45972150	1279	4201
15	CNN Breaking News	@cnnbrk	43735822	122	52203
16	jimmy fallon	@jimmyfallon	42950882	7205	9267
17	Ariana Grande	@ArianaGrande	42669339	66616	39570
18	Shakira	@shakira	40962633	186	4273
19	Instagram	@instagram	40353684	4	9585
20	Demi Lovato	@ddlovato	38230561	454	15267
21	Jennifer Lopez	@JLo	37686588	1692	9794
22	Drizzy	@Drake	34034726	640	1709
23	Oprah Winfrey	@Oprah	33912793	265	11596
24	LeBron James	@KingJames	33296962	166	5102
25	Bill Gates	@BillGates	31862736	171	2186
26	Kevin Hart	@KevinHart4real	31173509	545	31861
27	Miley Ray Cyrus	@MileyCyrus	30884943	369	8235
28	One Direction	@onedirection	30823124	4003	9909
29	The New York Times	@nytimes	30053673	971	246954
30	ESPN	@espn	30007341	298	82250
31	Harry Styles.	@Harry_Styles	29472513	2021	5341
32	SportsCenter	@SportsCenter	29176268	1674	81898
33	P!nk	@Pink	28306963	407	6068
34	Wiz Khalifa	@wizkhalifa	27769525	776	41796
35	Niall Horan	@NiallOfficial	27616655	5844	11178
36	Adele	@Adele	27174175	158	271
37	Lil Wayne WEEZY F	@LilTunechi	27106950	43	1462
38	Bruno Mars	@BrunoMars	26491041	110	3629
39	KANYE WEST	@kanyewest	26279439	1	985
40	Neil Patrick Harris	@ActuallyNPH	25724648	79	2574
41	Neymar Jr	@neymarjr	25651381	738	40730
42	Kaka	@KAKA	25095161	453	4556
